id;plan_number;location;work_day;stock_name;loading_start_time;loading_end_time;weight_sum;operator;operation;op_position;channel;comment;create_time;update_time
1;mobile Fish;Home Loan Account Table Computer;2023-02-26;FTP Savings Account;2023-02-25T22:23:21;2023-02-25T23:45:42;2058;Producer;Implementation Electronics Officer;methodology Albania;Home Namibia;Steel zero administration;2023-02-26T06:35:25;2023-02-26T09:47:47
2;Licensed Savings Account;Cambridgeshire Mississippi;2023-02-26;Credit Card Account Table Small Frozen Sausages;2023-02-25T16:12:28;2023-02-26T01:51:50;80839;access Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;2023-02-26T10:56:47;2023-02-26T14:37:53
3;synthesizing Views e-enable;Credit Card Account National Awesome;2023-02-26;Tasty Plastic Pizza scale;2023-02-26T08:52:14;2023-02-26T02:25:49;82873;compelling mission-critical;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding;2023-02-25T22:25:06;2023-02-25T22:18:39
4;1080p Checking Account Identity;Frozen IB;2023-02-26;archive Fantastic Plastic Chicken;2023-02-26T07:34:42;2023-02-25T23:24:03;72960;withdrawal COM;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;2023-02-26T00:06:33;2023-02-26T03:58:26
5;Montana;Corporate Phased relationships;2023-02-25;User-centric;2023-02-26T13:32:07;2023-02-26T01:00:37;28975;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;2023-02-26T09:54:45;2023-02-25T23:50:18
6;Jewelery cutting-edge;Games;2023-02-26;supply-chains magenta;2023-02-26T12:30:22;2023-02-26T08:55:01;33761;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;2023-02-26T00:45:12;2023-02-25T15:56:39
7;paradigms Home;Investor Public-key;2023-02-26;Berkshire Designer;2023-02-26T09:34:25;2023-02-26T01:09:30;67213;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;2023-02-26T10:54:23;2023-02-25T22:41:00
8;HDD;Algerian Dinar;2023-02-26;Buckinghamshire Future-proofed deposit;2023-02-26T11:11:53;2023-02-25T16:48:38;69093;synthesize Creative;Forint;Concrete Global SMS;Profound;parsing;2023-02-26T02:03:29;2023-02-26T02:59:01
9;content-based Executive;Customer Human deposit;2023-02-26;cross-media;2023-02-25T21:57:36;2023-02-25T19:03:47;89711;AI optical invoice;Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;2023-02-25T22:46:39;2023-02-26T04:37:15
10;Manager Fish;Networked;2023-02-26;navigate;2023-02-25T23:47:30;2023-02-25T21:31:22;84922;withdrawal Nevada Sleek;withdrawal Ergonomic;Strategist target;Investor users dot-com;North Dakota Cambridgeshire;2023-02-26T10:41:49;2023-02-26T09:51:30
